NAME,B19013_001E,B01003_001E,zip code tabulation area
ZCTA5 02558,58594,1658,02558
ZCTA5 02559,88698,2812,02559
ZCTA5 02561,-666666666,260,02561
ZCTA5 02562,141324,3698,02562
ZCTA5 02563,117558,10315,02563
ZCTA5 02564,-666666666,243,02564
ZCTA5 02568,93615,8829,02568
ZCTA5 02571,87302,10538,02571
ZCTA5 02575,181304,2417,02575
ZCTA5 02576,61735,4498,02576
ZCTA5 02584,-666666666,23,02584
ZCTA5 02601,62989,16066,02601
ZCTA5 02630,137875,2539,02630
ZCTA5 02631,93427,10189,02631
ZCTA5 02632,121295,12217,02632
ZCTA5 02633,94036,4536,02633
ZCTA5 02635,118295,3673,02635
ZCTA5 02637,218165,351,02637
ZCTA5 02638,117619,3256,02638
ZCTA5 02639,64051,3387,02639
ZCTA5 02641,-666666666,299,02641
ZCTA5 02642,72683,5772,02642
ZCTA5 02643,-666666666,0,02643
ZCTA5 02644,105000,3618,02644
ZCTA5 02645,89898,11060,02645
ZCTA5 02646,74276,1715,02646
ZCTA5 02647,-666666666,228,02647
ZCTA5 02648,131125,7592,02648
ZCTA5 02649,95852,15234,02649
ZCTA5 02650,65982,1017,02650
ZCTA5 02652,-666666666,924,02652
ZCTA5 02653,98798,6342,02653
ZCTA5 02655,100927,3535,02655
ZCTA5 02657,104500,3681,02657
ZCTA5 02659,87368,1090,02659
ZCTA5 02660,91449,6767,02660
ZCTA5 02663,-666666666,446,02663
ZCTA5 02664,78796,9720,02664
ZCTA5 02666,111344,751,02666
ZCTA5 02667,115469,3925,02667
ZCTA5 02668,108042,2514,02668
ZCTA5 02670,89875,1071,02670
ZCTA5 02671,101917,932,02671
ZCTA5 02672,-666666666,0,02672
ZCTA5 02673,73846,8969,02673
ZCTA5 02675,111555,6919,02675
ZCTA5 02702,145324,4445,02702
ZCTA5 02703,93352,46479,02703
ZCTA5 02713,78750,42,02713
ZCTA5 02715,137500,3778,02715
ZCTA5 02717,143281,4777,02717
